English/Pinyin,Original Language,Notes,GND,Chinese,Tibetan 1,Tibetan 2,Tibetan 3,Tibetan 4,Tibetan 5,Tibetan 6,Tibetan 7,Tibetan 8,Tibetan 9,Tibetan 10,Tibetan 11,Tibetan 12
Zhou Xinhong,周信紅,,,周信紅,ཀྲིག་ཞིན་ཧུན་,,,,,,,,,,,
Zhu De,朱德,,,朱德,གྲུ་ཏེ་,ཀྲུ་ཏེ་,ཀྲུའུ་དེ་,ཀྲུའུ་ཏེ་,,,,,,,,
Zhu Dehai,주덕해,,,朱德海,ཀྲུ་ཏའེ་ཧད་,,,,,,,,,,,
Zhu Xiafu,朱俠夫,,,朱俠夫,ཀྲུའུ་ཞ་ཧྥུ་,,,,,,,,,,,
Zhukov,Георгий Жуков,,,朱可夫,ཀྲུའུ་གོ་ཧྥུ་,,,,,,,,,,,
Zverev,Арсений Зверев,,,茲維列夫,ཙི་འུ་ལོ་ཧྥུ་,,,,,,,,,,,
,?,[1954 苏联对外文化协会理事会副主席],,維茲日林,འེ་ཙི་རི་ལིང་,,,,,,,,,,,
,?,"[1962 Sino-Indian War, Ngari 阿里防區, Ladakh]",,,ཝང་གོས་ཕིན་,,,,,,,,,,,
,?,"[1962 Sino-Indian War, Ngari 阿里防區, Ladakh]",,,ཇུང་ཡི་,,,,,,,,,,,
,?,"[1962 Sino-Indian War, Ngari 阿里防區, Ladakh]",,,ཐུའུ་ཧ་དབྱིན་,,,,,,,,,,,
,?,[1961 leader of Burma Communist Party],,,ཨི་ར་ཛན་ཨ་ལ་སི་ས་ཡ་ཨོང་ན་ཡེན་,,,,,,,,,,,
,?,[1960 the first wheat import contract with Canada],,,ཡེང་ལུའུ་ལེ་,,,,,,,,,,,
,?,[1955 西康འབངས་སྲིད་ལས་ཁུངས་廳長],,,ལེའུ་ཡོན་སྤྱོན་,,,,,,,,,,,
,?,[1955 西康འཕྲོད་རྟེན་ལས་ཁུངས་廳長],,,ལེམ་ཧུང་,,,,,,,,,,,
,?,[1955 西康民族事務委員會],,,འུག་ཧང་,,,,,,,,,,,
,?,[1958 廣東被捕蔣介石特務 གསང་ཉུལ་],,,སུའུ་ཛུའུ་ཅི་,,,,,,,,,,,
,?,[1958 廣東被捕蔣介石特務 གསང་ཉུལ་],,,རེའན་ཧྭ་ཙི་,,,,,,,,,,,
,?,[1958 廣東被捕蔣介石特務 གསང་ཉུལ་],,,ཁྲན་ཀོའང་ཡི་,,,,,,,,,,,
,?,[1958 廣東被捕蔣介石特務 གསང་ཉུལ་],,,ལིའན་ཆིང་,,,,,,,,,,,
,?,[1957 རེའན་ཧྭ་ཙི་同鄉],,,ཙའན་ཡའོ་ཡོའན་,,,,,,,,,,,
,?,[1958 人民志願軍指揮部副委員長],,,ཀྲའང་དབྱུན་ཕིས་,,,,,,,,,,,
,?,[1958 人民志願軍副參謀長將軍],,,ཤའོ་ཡིང་ཐའན་,,,,,,,,,,,
,?,[1959 西藏軍區直屬工作部部長],,,ཏུང་ཧྲེ་གཡེང་,,,,,,,,,,,
,?,[1959 西藏軍區政治部主任],,,རླུད་ཡི་ཧྲན་,,,,,,,,,,,
