English/Pinyin,Notes,GND,Chinese,Tibetan 1,Tibetan 2,Tibetan 3,Tibetan 4,Tibetan 5,Tibetan 6,Tibetan 7,Tibetan 8,Tibetan 9,Tibetan 10,Tibetan 11,Tibetan 12,Tibetan 13
Taklung,,,達隆,སྟག་ལུང་,,,,,,,,,,,,
Taksing,,,塔克辛,སྟག་སིང་,,,,,,,,,,,,
Tamil,,,泰米爾,ཐའི་རྨིར་,,,,,,,,,,,,
Tangola,,,唐古拉,ཐང་ཀུ་ལྷ་,ཐང་ལྷ་,,,,,,,,,,,
Taobei,,,洮北,ཐོ་པེ་,,,,,,,,,,,,
Tarim,,,塔里木,ཐཱ་ལི་མི་,,,,,,,,,,,,
Tawa,,,塔窪,མཐའ་བ་,,,,,,,,,,,,
Tawang,,,塔汪,རྟ་ཝང་,,,,,,,,,,,,
Taxila,Takṣaśilā,,塔克西拉,ཏག་སི་ལ་,རྡོ་འཇོག་,,,,,,,,,,,
Tehran,,,德黑蘭,དེའི་ཤེ་ལོན་,,,,,,,,,,,,
Tenali,,,泰納利,ཊེ་ན་ལི་,,,,,,,,,,,,
Tengri Tagh,,,天山,ཐེན་ཧྲན་,,,,,,,,,,,,
Tezpur,,,提斯浦爾,ཏི་ཛི་པུར་,ཏི་ཛི་སྤུར་,,,,,,,,,,,
Thailand,Siam,,泰國,ཐའི་ལནྜ་,ཐེ་ལེན་,ཐའི་ལན་,ཐའི་ལནཌ་,ཐེ་གོ་,ཐེའི་རྒྱལ་ཁབ་,ཤྱམ་ཡུལ་,སི་ཡམ་,ཐེ་ཀོ་,ཐ་ལན་ཌི་,ཐ་ལན་ཌ་,,
The Hague,Den Haag,,海牙,རྡི་ཧ་རྒུ་,,,,,,,,,,,,
Tianjin,,,天津,ཐེན་ཅིན་,ཐན་ཅིན་,ཐཱིན་ཅིན་,,,,,,,,,,
Tianshui,,,天水,ཐེན་ཧྥེ་,,,,,,,,,,,,
Tibet,,,西藏,བོད་,ཤིས་གཙང་,དབུས་གཙང་,,,,,,,,,,
Tingri,,,定日,དིང་རི་,,,,,,,,,,,,
Tokyo,,,東京,ཊོ་ཀེའོ་,ཀྲོག་ཀྱོ་,,,,,,,,,,,
Tongde,,,同德,ཐུན་ཏེ་,,,,,,,,,,,,
Tongliao,,,通遼,ཐུང་མིའོ་,,,,,,,,,,,,
Tongren,Rebgong 熱貢,,同仁,རེབ་ཀོང་,རེབ་གོང་,ཐུན་རིན་,ཐོང་རིན་,,,,,,,,,
Tongtian River,,,通天河,ཐོན་ཆུ་,,,,,,,,,,,,
Tongxian,,,通縣,ཐོང་ཤན་,,,,,,,,,,,,
Tongxin,,,同心,ཐུང་ཤིན་,,,,,,,,,,,,
Travancore,,,特拉凡哥爾,ཐེ་ལ་ཧྥུན་ཀའོ་ཨར་,,,,,,,,,,,,
Tripoli,,,的黎波里,ཏི་ལེ་པོ་ལི་,,,,,,,,,,,,
Tsetang,,,澤当,རྩེ་དིང་,རྩེ་ཐང་,རྩེད་ཐང་,,,,,,,,,,
Tsona,,,錯那,ཆུ་སྣ་,,,,,,,,,,,,
Turkey,,,土耳其,ཐུར་ཀེ་,ཐོ་ཨར་ཆིས་,ཏུར་ཀི་,ཀྲར་ཀི་,,,,,,,,,
Uganda,,,烏干達,ཨུ་ཀའན་ཏའ་,,,,,,,,,,,,
Ujjain,Ujjayinī,,烏賈因,ཨུ་ཇེན་,འཕགས་རྒྱལ་,,,,,,,,,,,
Ukraine,,,烏克蘭,ཨུ་ཁའོ་ལའན་,,,,,,,,,,,,
Ulaanbaatar,,,烏蘭巴托,ཨུའུ་ལན་པ་ཐོ་,,,,,,,,,,,,
Ulan,,,烏蘭,ཨོ་ལན་,,,,,,,,,,,,
Ulanhad,,,赤峯,ཁྲི་ཕེའང་,,,,,,,,,,,,
Uruguay,,,烏拉圭,ཨུ་རུ་ཀོའེ་,,,,,,,,,,,,
Ürümqi,,,烏魯木齊,ཨུ་རུམ་ཆིས་,ཨུ་རུ་མུ་ཆི་,ཨུ་ལུའུ་མུ་ཆི་,ཨུའུ་ལུ་མུ་ཆི་,བོའུ་ལོའུ་མོའུ་ཆིས་,,,,,,,,
Ussuri River,,,烏蘇里江,ཝུ་སུའུ་ལི་ཅང་,,,,,,,,,,,,
Vajrāsana,,,金剛座,རྡོ་རྗེ་གདན་,,,,,,,,,,,,
Varanasi,Benares,,瓦拉納西,ཝ་ར་ཎ་སི་,ཝ་ར་ཎཱ་སི་,བི་ན་ར་སི་,པི་ན་ར་སི་,ཝཱ་ར་ཎཱ་སི་,ཝར་ཎསི་,,,,,,,
Venezuela,,,委內瑞拉,ཝེ་ནེ་ཟུའི་ལ་,,,,,,,,,,,,
Vesali,Vaiśālī,,毘舍離,བཻ་ཤྱ་ལི་,ཡངས་པ་ཅན་,,,,,,,,,,,
Vienna,,,維也納,འུའི་ཡེ་ལ་,,,,,,,,,,,,
Vientiane,,,萬象,ཝིན་ཏན་,,,,,,,,,,,,
Vietnam,,,越南,ཡོ་ནན་,ཝི་ཊ་ནམ་,ཝེཊ་ནམ་,ཡའོ་ནན་,ཡུ་ལན་,ཡུ་ནན་,གཡོད་ནའན་,གཡོད་ནཱན་,བི་དི་ནམ་,བི་ད་ནམ་,བི་ནམ་,གཡོད་ནན་,
Vijayawada,Bezwada,,維傑亞瓦達,རྦེ་ཟ་བ་ད་,བེ་ཟ་ད་,བེ་ཟ་ཝ་ད་,,,,,,,,,,
Virginia,,,弗吉尼亞,ཕའེ་ཅི་ནི་ཡ་,,,,,,,,,,,,
Vulture Peak,Gṛdhrakūṭa,,靈鷲山,གིརྫཀུཊི་,བྱ་རྒོད་ཕུང་པོ་,,,,,,,,,,,
Walong,,,瓦弄,ཝ་ལུང་,,,,,,,,,,,,
Wangguo,,,王果,བོང་སྐོར་,,,,,,,,,,,,
Wangjia,,,王家,བང་རྒྱ་,,,,,,,,,,,,
Warsaw,,,華沙,ཧྭ་ཧྲ་,,,,,,,,,,,,
Washington,,,華盛頓,ཝ་ཤིང་ཊོན་,ཝ་ཤིང་ཀྲོན་,ཧའོ་སེ་ཀྲོན་,,,,,,,,,,
Wenchuan,,,汶川,བོན་ཁྲན་,ཝོན་ཆན་,འུན་ཁྲུའན་,འུན་ཁྲོའན་,,,,,,,,,
Wenshan,,,文山,འུན་ཧྲན་,,,,,,,,,,,,
Wu Mountains,,,巫山,ཝུ་ཧྲན་,,,,,,,,,,,,
Wuhan,,,武漢,ཨུ་ཧན་,ཨུའི་ཧོན་,ཨུ་ཧའན་,ཝུ་ཧན་,,,,,,,,,
Wuzhong,,,吳忠,ཨུ་ཀྲུང་,,,,,,,,,,,,
Xangdê,,,香日德,སྦྱང་རི་སྡེ་,,,,,,,,,,,,
Xarag,,,夏日哈,ཤ་རུ་ཁ་,,,,,,,,,,,,
Xi Lake,,,西湖,ཞི་ཧུ་,,,,,,,,,,,,
Xialatuo,,,蝦拉沱,ཤར་ར་ཐང་,,,,,,,,,,,,
Xi'an,,,西安,ཤིས་ཨན་,,,,,,,,,,,,
Xiangcheng,,,鄉城,ཆ་ཕྲེང་,,,,,,,,,,,,
Xianyang,,,咸陽,ཞའན་ཡང་,,,,,,,,,,,,
Xiaojin,,,小金,བཙན་ལྷ་,བརྩན་ལྷ་,,,,,,,,,,,
Xiaoliang Mountain,,,小涼山,ཤའོ་ལིའན་ཧྲན་,,,,,,,,,,,,
